Day,Date,Head Count,Time
Sunday,2024-02-18,13,21:30
Sunday,2024-02-18,4,21:50
Monday,2024-02-19,2,11:50
Monday,2024-02-19,3,12:20
Monday,2024-02-19,7,13:00
Monday,2024-02-19,6,13:55
Monday,2024-02-19,9,14:12
Monday,2024-02-19,5,14:23
Monday,2024-02-19,7,15:00
Monday,2024-02-19,8,15:20
Monday,2024-02-19,4,15:45
Monday,2024-02-19,9,16:00
Monday,2024-02-19,9,16:30
Monday,2024-02-19,15,17:00
Monday,2024-02-19,12,17:30
Monday,2024-02-19,15,18:00
Monday,2024-02-19,16,18:30
Monday,2024-02-19,7,19:00
Monday,2024-02-19,5,20:00
Monday,2024-02-19,7,20:30
Monday,2024-02-19,4,21:00
Monday,2024-02-19,4,21:30
Tuesday,2024-02-20,3,11:02
Tuesday,2024-02-20,5,12:00
Tuesday,2024-02-20,0,13:02
Tuesday,2024-02-20,1,13:55
Tuesday,2024-02-20,0,14:22
Tuesday,2024-02-20,2,14:42
Tuesday,2024-02-20,3,15:03
Tuesday,2024-02-20,2,15:35
Tuesday,2024-02-20,5,15:43
Tuesday,2024-02-20,8,16:01
Tuesday,2024-02-20,4,16:11
Tuesday,2024-02-20,6,16:47
Tuesday,2024-02-20,5,17:24
Tuesday,2024-02-20,7,17:40
Tuesday,2024-02-20,8,18:30
Tuesday,2024-02-20,9,19:15
Tuesday,2024-02-20,10,19:45
Tuesday,2024-02-20,9,21:00
Tuesday,2024-02-20,10,21:30
Wednesday,2024-02-21,9,12:00
Wednesday,2024-02-21,12,12:30
Wednesday,2024-02-21,7,13:00
Wednesday,2024-02-21,9,13:30
Wednesday,2024-02-21,12,14:00
Wednesday,2024-02-21,11,14:30
Wednesday,2024-02-21,14,15:00
Wednesday,2024-02-21,6,15:20
Wednesday,2024-02-21,14,15:40
Wednesday,2024-02-21,15,16:00
Wednesday,2024-02-21,12,16:30
Wednesday,2024-02-21,15,17:00
Wednesday,2024-02-21,16,17:20
Wednesday,2024-02-21,13,17:40
Wednesday,2024-02-21,2,18:00
Wednesday,2024-02-21,8,18:30
Wednesday,2024-02-21,0,19:00
Wednesday,2024-02-21,0,19:30
Wednesday,2024-02-21,7,20:30
Wednesday,2024-02-21,1,21:00
Wednesday,2024-02-21,0,21:30
Wednesday,2024-02-21,0,22:00
Thursday,2024-02-22,0,10:52
Thursday,2024-02-22,2,12:01
Thursday,2024-02-22,3,14:09
Thursday,2024-02-22,2,15:00
Thursday,2024-02-22,8,16:00
Thursday,2024-02-22,6,16:30
Thursday,2024-02-22,4,17:00
Thursday,2024-02-22,7,18:00
Thursday,2024-02-22,4,18:30
Thursday,2024-02-22,6,19:00
Thursday,2024-02-22,9,19:30
Thursday,2024-02-22,3,20:00
Friday,2024-02-23,4,10:00
Friday,2024-02-23,3,10:30
Friday,2024-02-23,2,10:45
Friday,2024-02-23,4,11:00
Friday,2024-02-23,10,11:40
Friday,2024-02-23,8,12:36
Friday,2024-02-23,9,12:59
Friday,2024-02-23,8,14:00
Friday,2024-02-23,10,14:30
Friday,2024-02-23,3,15:00
Friday,2024-02-23,10,15:30
Friday,2024-02-23,9,16:30
Friday,2024-02-23,10,17:00
Friday,2024-02-23,7,17:30
Friday,2024-02-23,12,18:00
Friday,2024-02-23,19,18:40
Friday,2024-02-23,5,19:00
Friday,2024-02-23,3,19:20
Friday,2024-02-23,8,19:40
Friday,2024-02-23,7,20:20
Friday,2024-02-23,3,20:33
Friday,2024-02-23,11,21:00
Friday,2024-02-23,9,22:00
Friday,2024-02-23,13,22:15
Friday,2024-02-23,18,22:35
Friday,2024-02-23,9,23:35
Friday,2024-02-23,2,23:40
Saturday,2024-02-24,3,12:00
Saturday,2024-02-24,5,12:45
Saturday,2024-02-24,7,13:30
Saturday,2024-02-24,13,13:50
Saturday,2024-02-24,5,14:30
Saturday,2024-02-24,7,15:00
Saturday,2024-02-24,6,15:30
Saturday,2024-02-24,8,16:00
Saturday,2024-02-24,8,16:30
Saturday,2024-02-24,9,17:00
Saturday,2024-02-24,9,17:30
Saturday,2024-02-24,8,18:00
Saturday,2024-02-24,15,18:40
Saturday,2024-02-24,17,19:00
Saturday,2024-02-24,9,19:20
Saturday,2024-02-24,6,20:15
Saturday,2024-02-24,8,21:00
Saturday,2024-02-24,8,22:00
Saturday,2024-02-24,5,22:45
Saturday,2024-02-24,6,23:30
Saturday,2024-02-24,2,23:50
Saturday,2024-02-24,0,00:00
Sunday,2024-02-25,0,10:30
Sunday,2024-02-25,0,11:00
Sunday,2024-02-25,2,11:30
Sunday,2024-02-25,0,12:00
Sunday,2024-02-25,4,12:30
Sunday,2024-02-25,7,13:00
Sunday,2024-02-25,9,13:30
Sunday,2024-02-25,6,14:00
Sunday,2024-02-25,9,15:00
Sunday,2024-02-25,6,16:30
Sunday,2024-02-25,12,17:00
Sunday,2024-02-25,14,17:20
Sunday,2024-02-25,11,17:40
Sunday,2024-02-25,9,18:00
Sunday,2024-02-25,13,18:20
Sunday,2024-02-25,14,18:40
Sunday,2024-02-25,15,19:20
Sunday,2024-02-25,13,19:40
Sunday,2024-02-25,7,20:00
Sunday,2024-02-25,5,20:30
Sunday,2024-02-25,6,21:00
Sunday,2024-02-25,4,21:45
Monday,2024-02-26,2,10:30
Monday,2024-02-26,1,11:15
Monday,2024-02-26,0,11:30
Monday,2024-02-26,3,11:45
Monday,2024-02-26,4,12:00
Monday,2024-02-26,2,12:50
Monday,2024-02-26,7,13:30
Monday,2024-02-26,3,14:00
Monday,2024-02-26,4,14:50
Monday,2024-02-26,1,15:35
Monday,2024-02-26,4,16:00
Monday,2024-02-26,9,16:30
Monday,2024-02-26,7,17:00
Monday,2024-02-26,5,17:30
Monday,2024-02-26,12,18:00
Monday,2024-02-26,6,18:30
Monday,2024-02-26,5,19:00
Monday,2024-02-26,10,19:30
Monday,2024-02-26,9,20:00
Monday,2024-02-26,8,20:30
Monday,2024-02-26,2,21:00
Monday,2024-02-26,9,21:30
Tuesday,2024-02-27,4,12:11
Tuesday,2024-02-27,4,13:01
Tuesday,2024-02-27,0,14:06
Tuesday,2024-02-27,2,14:40
Tuesday,2024-02-27,5,15:15
Tuesday,2024-02-27,8,16:30
Tuesday,2024-02-27,6,17:10
Tuesday,2024-02-27,8,17:45
Tuesday,2024-02-27,13,18:30
Tuesday,2024-02-27,16,19:00
Tuesday,2024-02-27,9,19:30
Tuesday,2024-02-27,9,20:00
Tuesday,2024-02-27,7,20:30
Tuesday,2024-02-27,12,21:30
Wednesday,2024-02-28,14,12:00
Wednesday,2024-02-28,10,12:30
Wednesday,2024-02-28,7,13:00
Wednesday,2024-02-28,10,13:30
Wednesday,2024-02-28,13,14:00
Wednesday,2024-02-28,17,14:20
Wednesday,2024-02-28,12,15:00
Wednesday,2024-02-28,14,15:20
Wednesday,2024-02-28,13,15:40
Wednesday,2024-02-28,14,16:00
Wednesday,2024-02-28,9,16:20
Wednesday,2024-02-28,12,16:40
Wednesday,2024-02-28,15,17:00
Wednesday,2024-02-28,9,17:20
Wednesday,2024-02-28,13,17:40
Wednesday,2024-02-28,13,18:00
Wednesday,2024-02-28,12,18:30
Wednesday,2024-02-28,16,19:00
Wednesday,2024-02-28,17,19:30
Wednesday,2024-02-28,11,20:00
Wednesday,2024-02-28,11,20:30
Wednesday,2024-02-28,5,21:00
Wednesday,2024-02-28,0,21:45
Thursday,2024-02-29,0,11:30
Thursday,2024-02-29,2,12:31
Thursday,2024-02-29,6,13:09
Thursday,2024-02-29,8,13:41
Thursday,2024-02-29,0,14:00
Thursday,2024-02-29,4,14:30
Thursday,2024-02-29,5,15:00
Thursday,2024-02-29,2,15:30
Thursday,2024-02-29,7,16:00
Thursday,2024-02-29,6,17:30
Thursday,2024-02-29,6,18:00
Thursday,2024-02-29,5,18:30
Thursday,2024-02-29,7,19:00
Thursday,2024-02-29,2,19:30
Thursday,2024-02-29,10,20:30
Friday,2024-03-01,7,12:43
Friday,2024-03-01,7,13:03
Friday,2024-03-01,13,13:31
Friday,2024-03-01,12,14:30
Friday,2024-03-01,16,15:05
Friday,2024-03-01,16,15:30
Friday,2024-03-01,13,16:00
Friday,2024-03-01,16,16:30
Friday,2024-03-01,16,17:00
Friday,2024-03-01,12,17:30
Friday,2024-03-01,12,18:00
Friday,2024-03-01,10,18:40
Friday,2024-03-01,8,19:00
Friday,2024-03-01,12,19:20
Friday,2024-03-01,14,19:40
Friday,2024-03-01,7,20:00
Friday,2024-03-01,6,21:04
Friday,2024-03-01,15,23:16
Friday,2024-03-01,3,22:39
Saturday,2024-03-02,4,11:00
Saturday,2024-03-02,5,11:25
Saturday,2024-03-02,4,12:00
Saturday,2024-03-02,4,12:45
Saturday,2024-03-02,6,13:30
Saturday,2024-03-02,7,13:50
Saturday,2024-03-02,10,14:00
Saturday,2024-03-02,9,14:30
Saturday,2024-03-02,9,15:00
Saturday,2024-03-02,6,16:00
Saturday,2024-03-02,8,16:30
Saturday,2024-03-02,6,17:00
Saturday,2024-03-02,6,17:30
Saturday,2024-03-02,10,18:00
Saturday,2024-03-02,15,18:30
Saturday,2024-03-02,14,19:00
Saturday,2024-03-02,18,19:30
Saturday,2024-03-02,13,20:00
Saturday,2024-03-02,17,20:40
